"rgn_id","tonnes","year"
"190",55806.6748342896,"2011"
"191",158128.76806702,"2011"
"192",3125.22810302734,"2011"
"193",67271.2067077798,"2011"
"194",213608.627236033,"2011"
"195",51035.9072912347,"2011"
"196",374062.662798866,"2011"
"197",146823.002781327,"2011"
"198",33012.5383027697,"2011"
"199",4657.63804443642,"2011"
"200",349437.245719307,"2011"
"202",101344.984258382,"2011"
"203",2134539.32712408,"2011"
"204",985021.438807209,"2011"
"205",1603147.08011472,"2011"
"206",1670688.98672018,"2011"
"207",3284616.42183938,"2011"
"208",6851.18920898438,"2011"
"209",8692186.25265279,"2011"
"210",1636158.11471905,"2011"
"212",9319.71271962877,"2011"
"214",79384.3929387985,"2011"
"215",369.161619319916,"2011"
"216",4382457.10845929,"2011"
"218",577676.796882658,"2011"
"219",5442.99820228577,"2011"
