"rgn_name","rgn_id","commodity","product","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Aruba",250,"Z_TOTAL","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1214,940,292,790,1160,881,2053,1132,1518,4088,7057,7879,8377,16402,21911,27633,31954,30092,36837,39825,10872,6166,4248,3462,4865
"Australia",16,"Fish body oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0
"Australia",16,"Mother of pearl shells","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.386789230828867,0,0,0,0,1.32390497133088,1.78867163949946,2.00648859801834,1.88237518932971,0,6,2,7,28,8,3,7,2,9,6,5,8,3
"Australia",16,"Other seaweeds and aquatic plants and products thereof","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8975,11952,12150,11998,10587,9832,12197,13200,10604,9190,11600,11650,12630,12550,12990,13050,12970,12575,11140,12185,13550,13130
"Australia",16,"Shells nei","shells",4,18,13,15,16,15,14,16,27,16,22,1,22,4,16,4,5,0,0,0,1,0,0,0.1,0,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Australia",16,"Trochus shells","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204.059846660813,204.697605618545,195.369244959878,0,0,0,0,0,0,0.1,0.1
"Australia",16,"Z_TOTAL","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0
"Australia",16,"Z_TOTAL","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8975,11952,12150,11998,10587,9832,12197,13200,10604,9190,11600,11650,12630,12550,12990,13050,12970,12575,11140,12185,13550,13130
"Australia",16,"Z_TOTAL","shells",4,18,13,15,16,15,14,16,27,16,22,1,22,4,16,4,5,0,0.386789230828867,0,1,0,0,1.42390497133088,1.78867163949946,2.00648859801834,16.8823751893297,3,6,2,211.059846660813,232.697605618545,203.369244959878,3,7,2,9,6,5,8.1,3.1
"Azerbaijan",255,"Fish body oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.5435047182036,39.975291543793,0.1,0.1,0,0,0,0,0
"Azerbaijan",255,"Z_TOTAL","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.5435047182036,39.975291543793,0.1,0.1,0,0,0,0,0
"Bahamas",110,"Coral and the like","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.1,0,10,11,4,60,9,1,0,0,0.1,0.1,0,0,1,10,28,28,1,0.1,0.1,0.1
"Bahamas",110,"Miscellaneous corals and shells","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bahamas",110,"Natural sponges nei","sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,25,8,0.1,23,1,1,2,0.1,1,0,1,0.1,0,0,0,0,0,0,0,54,58
"Bahamas",110,"Natural sponges other than raw","sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,0.1,0,0,0,0,0.1,16,8,0.1,13,11,29,125,291,18,5,8,5
"Bahamas",110,"Shells nei","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,5,1,1
