"rgn_name","rgn_id","commodity","product","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"Bangladesh",204,"Z_TOTAL","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,32,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,11,10,2,0.1,0.1,1,10,0,0,0,0
"Bangladesh",204,"Z_TOTAL","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,50,63,74,74,103,35,200
"Bangladesh",204,"Z_TOTAL","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,121,248,423,176,222,673,949,2197,2178,530
"Barbados",124,"Fish liver oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,0,0,0.1,0,0.1,0.1,0.1,1,0,0.1,1,0,0,0,0
"Barbados",124,"Miscellaneous corals and shells","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0,10,0,0,0,0.1,0,0,0,0,0,0,0
"Barbados",124,"Ornamental fish nei","ornamentals",0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0.1,10,4,3,3,3,1,0,0,0,0,0,0.1,0,0,0,0.1
"Barbados",124,"Other seaweeds and aquatic plants and products thereof","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0
"Barbados",124,"Z_TOTAL","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,0,0,0.1,0,0.1,0.1,0.1,1,0,0.1,1,0,0,0,0
"Barbados",124,"Z_TOTAL","ornamentals",0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0.1,10,4,3,3,3,1,0,0,0,0,0,0.1,0,0,0,0.1
"Barbados",124,"Z_TOTAL","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0
"Barbados",124,"Z_TOTAL","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0,10,0,0,0,0.1,0,0,0,0,0,0,0
"Belgium",59,"Agar agar nei","seaweeds",21.7657627046992,1,4,3,5,6,5,13,15,16,9,10,8,2,0,0,0,0,3,6,4,8,8,30,24,8,13,5,9,51,20,53,38,37,39,32,43,57,116,186
"Belgium",59,"Fish body oils, nei","fish_oil",442,347,328,407,591,195,149,253,550,135,194,641,162,710,519,309,275,788,584,2176,1635,1019,485,52,31,37,801,3708,12764,26131,21259,16136,7941,28589,14140,11855,10964,4788,3195,6732
"Belgium",59,"Fish liver oils, nei","fish_oil",448,29,6,80,34,31,34,6,26,56,114,251,496,287,117,104,66,138,74,177,69,73,123,106,100,136,146,151,121,75,53,203,223,102,46,21,21,40,27,31
"Belgium",59,"Halibuts, liver oils","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,0,0,0,0,0.1,0,0,0,0,21,8,0,0.1,1,1,0.1,0.1
"Belgium",59,"Miscellaneous corals and shells","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,726,602,751,681,793,474,269,433,378,84,233,592,645,590,1021,55287,68142,50105,35124,2336,1165,1070,1120,1561,1351,1843
"Belgium",59,"Natural sponges other than raw","sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,8,13,15,18,20,33,17,111,18,13,3,2,1,6,0.1,2,3,0.1,0.1,0.1
"Belgium",59,"Natural sponges raw","sponges",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2,9,25,9,7,0.1,0.1,0.1,0,0.1,1,11,15,9,3,0.1,0.1,0.1,3,0.1,0.1,0.1,65,0.1,0.1,1
"Belgium",59,"Ornamental saltwater fish","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,7,7,6,12,19,33,43,27,16,2,3,1,26,27,12,3,5,3,2,0.1,2,3,3,5,6,3,2
"Belgium",59,"Other seaweeds and aquatic plants and products thereof","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,13,10,10,28,63,122,54,63,522,372,192,166,203,253,290,328,1321,344,170,320,271,309,338,0,0,0,0
"Belgium",59,"Seaweeds and other algae, unfit for human consumption, nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159,316,391,185
"Belgium",59,"Shells nei","shells",966,1398,1340,1136,678,609,422,1198,1214,1195,1412,1177,821,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belgium",59,"Z_TOTAL","fish_oil",890,376,334,487,625,226,183,259,576,191,308,892,658,997,636,413,341,926,658,2353,1704,1092.1,608,158,131,173,947,3859.1,12885,26206,21312,16339,8185,28699,14186,11876.1,10986,4829,3222.1,6763.1
"Belgium",59,"Z_TOTAL","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,7,7,6,12,19,33,43,27,16,2,3,1,26,27,12,3,5,3,2,0.1,2,3,3,5,6,3,2
"Belgium",59,"Z_TOTAL","seaweeds",21.7657627046992,1,4,3,5,6,5,13,15,16,9,10,123,15,10,10,28,63,125,60,67,530,380,222,190,211,266,295,337,1372,364,223,358,308,348,370,202,373,507,371
"Belgium",59,"Z_TOTAL","shells",966,1398,1340,1136,678,609,422,1198,1214,1195,1412,1177,821,730,726,602,751,681,793,474,269,433,378,84,233,592,645,590,1021,55287,68142,50105,35124,2336,1165,1070,1120,1561,1351,1843
"Belgium",59,"Z_TOTAL","sponges",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2,9,25,9,11,7.1,8.1,13.1,15,18.1,21,44,32,120,21,13.1,3.1,2.1,4,6.1,0.2,2.1,68,0.2,0.2,1.1
"Belize",164,"Miscellaneous corals and shells","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,255,0.1,0,0,0.1,0,0,0,11,0.1,40
"Belize",164,"Ornamental fish nei","ornamentals",NA,0.1,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,6,7,12,0,0,11.3764223647465,7.6315124176412,8.29400052794739,56,53,90,57,40,39,28,20,30,47,27,0,NA
"Belize",164,"Other seaweeds and aquatic plants and products thereof","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,1,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belize",164,"Z_TOTAL","ornamentals",NA,0.1,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,6,7,12,0,0,11.3764223647465,7.6315124176412,8.29400052794739,56,53,90,57,40,39,28,20,30,47,27,0,0
"Belize",164,"Z_TOTAL","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,1,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belize",164,"Z_TOTAL","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,255,0.1,0,0,0.1,0,0,0,11,0.1,40
"Bonaire",245,"Coral and the like","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025,0.25,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0
"Bonaire",245,"Ornamental fish nei","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025,0.75,0,0.5,0.5,0.25,0.5,0.5,0.025,1.5,2,2.25,0.5,0.5,0.025,0,0,0,0,0
"Bonaire",245,"Z_TOTAL","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025,0.25,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0
"Bonaire",245,"Z_TOTAL","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025,0.75,0,0.5,0.5,0.25,0.5,0.5,0.025,1.5,2,2.25,0.5,0.5,0.025,0,0,0,0,0
"Bosnia and Herzegovina",232,"Miscellaneous corals and shells","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,95,82,48,64,53,5,51,69,76,13,23
"Bosnia and Herzegovina",232,"Z_TOTAL","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,95,82,48,64,53,5,51,69,76,13,23
"Brazil",171,"Agar agar nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,10,23,0.1,1,8,6,1,3,3,3,0.1,0.1,0.1,0.1,0.1,3,6,0.1,5,3,4
"Brazil",171,"Cod liver oil","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,1,0,0,0,3,0.1,0.1,0.1,0,0.1,0.1,4,3,0.1,0.1,0,0.1,0.1,0,0.1,0,0,0.1
"Brazil",171,"Coral and the like","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,17,44,33,5,0.1,1,1,9,513,510,35,16,11,3,1,1,1,2,11,0.1,0.1
"Brazil",171,"Fish body oils, nei","fish_oil",42,7,1,0,0,0,0,0,0,0,0,0,1,21,0,0,26,0.1,0.1,0.1,0,60,0.1,0,1,0.1,0.1,0.1,0.1,2,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0,22
"Brazil",171,"Fish liver oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,0.1,0.1,0.1,0.1,0,0.1,0,0.1,0.1,0.1,0,0,0,0,0.1,0.1,0,0,0
"Brazil",171,"Natural sponges raw","sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,13,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
"Brazil",171,"Ornamental fish nei","ornamentals",188,194,236,271,233,211,198,211,261,345,360,468,532,493,545,578,671,921,275,256,326,321,269,288,197,181,172,110,95,174,152,158,131,97,86,76,1,0,0,NA
"Brazil",171,"Ornamental saltwater fish","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,4,4
"Brazil",171,"Other seaweeds and aquatic plants and products thereof","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,207,156,135,144,159,258,205,146,239,356,173,128,131,89,126,47,81,84,94,121,137,0,0,0,NA
"Brazil",171,"Seaweeds and other algae, unfit for human consumption, nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,123,159,148
"Brazil",171,"Z_TOTAL","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,17,44,33,5,0.1,1,1,9,513,510,35,16,11,3,1,1,1,2,11,0.1,0.1
"Brazil",171,"Z_TOTAL","fish_oil",42,7,1,0,0,0,0,0,0,0,0,0,1,21,0,0.1,26.1,1.1,0.1,0.2,0,63.1,0.3,0.2,1.2,0.1,0.3,0.2,4.2,5.1,0.3,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0,22.1
"Brazil",171,"Z_TOTAL","ornamentals",188,194,236,271,233,211,198,211,261,345,360,468,532,493,545,578,671,921,275,256,326,321,269,288,197,181,172,110,95,174,152,158,131,97,86,76,7,5,4,4
"Brazil",171,"Z_TOTAL","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,207,156,135,173,169,281,205.1,147,247,362,174,131,134,92,126.1,47.1,81.1,84.1,94.1,124,143,132.1,128,162,152
"Brazil",171,"Z_TOTAL","sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,13,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
