assess_year,country,level,date,rgn_name,regional,location,risk_factor
2018,Brazil,4: Do not travel,1/10/18,Brazil,1,“Favela” neighborhoods,cirme
2018,Brazil,4: Do not travel,1/10/18,Brazil,1,"Brasilia’s “satellite cities” of Ceilandia, Santa Maria, Sao Sebastiao, and Paranoa during non-daylight hours",crime
2018,Brazil,4: Do not travel,1/10/18,Brazil,1,Recife’s Pina Beach from Dona Benvinda de Farias Street to the Brasilia Teimosa neighborhood,crime
2018,British Virgin Islands,1: Exercise normal precautions,4/10/18,British Virgin Islands,,,
2018,Brunei,1: Exercise normal precautions,1/10/18,Brunei,,,
2018,Bulgaria,1: Exercise normal precautions,1/10/18,Bulgaria,,,
2018,Burkina Faso,3: Reconsider travel,3/2/18,Burkina Faso,,,terrorism
2018,Burkina Faso,4: Do not travel,3/2/18,Burkina Faso,1,The northern Sahel border region shared with Mali and Niger,crime and terrorism
2018,Burma,1: Exercise normal precautions,6/13/18,Burma,,,
2018,Burma,4: Do not travel,6/13/18,Burma,1,"Maungdaw, Rathedaung, Ponnagyun, and Buthidaung townships in Rakhine State",civil unrest
2018,Burma,4: Do not travel,6/13/18,Burma,1,Paletwa township in Chin State,civil unrest
2018,Burma,4: Do not travel,6/13/18,Burma,1,"Hpakan, Mansi, Momauk, Sumprabum, Tanai, and Waingmaw townships in Kachin State",civil unrest
2018,Burma,4: Do not travel,6/13/18,Burma,1,Shadaw township in Kayah State,civil unrest
2018,Burma,4: Do not travel,6/13/18,Burma,1,"Hlaingbwe, Hpapun, and Thandaung townships in Kayin State ",civil unrest
2018,Burma,4: Do not travel,6/13/18,Burma,1,"Konkyan, Kutkai, Laukkaing, Matman, Mongmao, Namphan, Pangsang, and Pangwaun townships in Shan State",civil unrest
2018,Burma,3: Reconsider travel,6/13/18,Burma,1,Bhamo township in Kachin State,civil unrest
2018,Burma,3: Reconsider travel,6/13/18,Burma,1,Minbya and Mrauk-U townships in Rakhine State,civil unrest
2018,Burma,3: Reconsider travel,6/13/18,Burma,1,"Hopang, Kyaukme, Manton, Mongkaung, Muse, Namhsan, Namtu, and Nanhkan townships in Shan State",civil unrest
2018,Burma,2: Exercise increased caution,6/13/18,Burma,1,Northern Shan State,land mines
2018,Burma,2: Exercise increased caution,6/13/18,Burma,1,"Parts of Kachin, Rakhine, and Chin States",land mines
2018,Burundi,3: Reconsider travel,1/10/18,Burundi,,,crime and armed conflict
2018,Cabo Verde,1: Exercise normal precautions,1/10/18,Cabo Verde,,,
2018,Cambodia,1: Exercise normal precautions,1/10/18,Cambodia,,,
2018,Cambodia,2: Exercise increased caution,1/10/18,Cambodia,1,Phnom Penh,crime
2018,Cambodia,2: Exercise increased caution,1/10/18,Cambodia,1,"Very remote areas of Battambang, Banteay Meanchey, Pursat, Siem Reap, Pailin, and Kampong Thom provinces",land mines
2018,Cameroon,2: Exercise increased caution,4/11/18,Cameroon,,,crime
2018,Cameroon,4: Do not travel,4/11/18,Cameroon,1,"North, Far North, Northwest and Southwest Regions, and Parts of East and Adamawa Regions","crime, terrorism, civil unrest"
2018,Canada,1: Exercise normal precautions,1/10/18,Canada,,,
2018,Cayman Islands,1: Exercise normal precautions,1/10/18,Cayman Islands,,,
2018,Central African Republic (CAR),4: Do not travel,5/24/18,Central African Republic,,,crime and civil unrest
2018,Chad,3: Reconsider travel,1/10/18,Chad,,,"crime, terrorism, and minefields"
2018,Chile,1: Exercise normal precautions,1/10/18,Chile,,,
2018,China,2: Exercise increased caution,1/22/18,China,,,to the arbitrary enforcement of local laws and special restrictions on dual U.S.-Chinese nationals
2018,Colombia,2: Exercise increased caution,6/28/18,Colombia,,,crime and terrorism
2018,Colombia,4: Do not travel,6/28/18,Colombia,1,"Arauca, Cauca (except Popayan), Chocó (except Nuquí), Nariño, and Norte de Santander (except Cucuta)",crime and terrorism
2018,Colombia,3: Reconsider travel,6/28/18,Colombia,1,Several departments throughout the country,crime and terrorism
2018,Comoros,1: Exercise normal precautions,1/10/18,Comoros,,,
2018,Congo-Brazzaville (ROC),2: Exercise increased caution,4/3/18,Republique du Congo,,,crime and civil unrest
2018,Congo-Brazzaville (ROC),3: Reconsider travel,4/3/18,Republique du Congo,1,The southern and western districts of the Pool Region,civil unrest and armed conflict
2018,Congo-Kinshasha (DRC),3: Reconsider travel,2/28/18,Democratic Republic of the Congo,,,crime and civil unrest
2018,Congo-Kinshasha (DRC),4: Do not travel,2/28/18,Democratic Republic of the Congo,1,eastern DRC and the three Kasai provinces,armed conflict
2018,Costa Rica,1: Exercise normal precautions,3/28/18,Costa Rica,,,
2018,Costa Rica,4: Do not travel,3/28/18,Costa Rica,1,Poas Volcano National Park,natural disaster
2018,Costa Rica,2: Exercise increased caution,3/28/18,Costa Rica,1,Central neighborhood in Limon ,cirme
2018,Costa Rica,2: Exercise increased caution,3/28/18,Costa Rica,1,Liberia city,crime
2018,Costa Rica,2: Exercise increased caution,3/28/18,Costa Rica,1,Desamparados neighborhood in San Rafael,crime
2018,Costa Rica,2: Exercise increased caution,3/28/18,Costa Rica,1,Pavas and Hospital neighborhoods San Jose,crime
2018,Cote d'Ivoire,2: Exercise increased caution,1/10/18,Ivory Coast,,,crime and terrorism
2018,Croatia,1: Exercise normal precautions,1/10/18,Croatia,,,
2018,Cuba,3: Reconsider travel,3/2/18,Cuba,,,attacks targeting U.S. Embassy Havana employees resulting in the drawdown of embassy staff
2018,Curacao,1: Exercise normal precautions,1/10/18,Curacao,,,
2018,Cyprus,1: Exercise normal precautions,6/18/18,Cyprus,,,
2018,Czech Republic,1: Exercise normal precautions,1/10/18,Czech Republic,,,
2018,Denmark,2: Exercise increased caution,6/21/18,Denmark,,,terrorism
2018,Djibouti,1: Exercise normal precautions,1/10/18,Djibouti,,,
2018,Domincan Republic,2: Exercise increased caution,1/10/18,Domincan Republic,,,crime
2018,Dominica,1: Exercise normal precautions,4/10/18,Dominica,,,
2018,Ecuador,1: Exercise normal precautions,4/19/18,Ecuador,,,
2018,Ecuador,4: Do not travel,4/19/18,Ecuador,1,"Esmeraldas, Carchi, and Sucumbíos provinces",crime
2018,Egypt,2: Exercise increased caution,1/10/18,Egypt,,,terrorism
2018,Egypt,4: Do not travel,1/10/18,Egypt,1,The Sinai Peninsula (with the exception of travel to Sharm El-Sheikh by air),terrorism
2018,Egypt,4: Do not travel,1/10/18,Egypt,1,The Western Desert,terrorism
2018,Egypt,4: Do not travel,1/10/18,Egypt,1,Egyptian border areas,military zone
2018,El Salvador,3: Reconsider travel,1/10/18,El Salvador,,,crime
2018,Equatorial Guinea,1: Exercise normal precautions,1/10/18,Equatorial Guinea,,,
2018,Eritrea,2: Exercise increased caution,3/13/18,Eritrea,,, travel restrictions and limited consular assistance
2018,Eritrea,3: Reconsider travel,3/13/18,Eritrea,1,Eritrean-Ethiopian border, potential armed conflict.
2018,Eritrea,3: Reconsider travel,3/13/18,Eritrea,1,Remote areas or off main roads,minefields
2018,Estonia,1: Exercise normal precautions,1/10/18,Estonia,,,
2018,Ethiopia,2: Exercise increased caution,6/7/18,Ethiopia,,,the potential for civil unrest and communications disruptions
2018,Ethiopia,4: Do not travel,6/7/18,Ethiopia,1,Somali Regional State ,"civil unrest, terrorism, and landmines"
2018,Ethiopia,3: Reconsider travel,6/7/18,Ethiopia,1,East Hararge region of Oromia state,civil unrest
2018,Ethiopia,3: Reconsider travel,6/7/18,Ethiopia,1,Danakil Depression region in Afar,cirme
2018,Ethiopia,3: Reconsider travel,6/7/18,Ethiopia,1,"Border areas with Kenya, Sudan, South Sudan, and Eritrea",armed conflict or civil unrest
2018,Fiji,1: Exercise normal precautions,1/10/18,Fiji,,,
2018,Finland,1: Exercise normal precautions,1/10/18,Finland,,,
2018,France *Monaco,2: Exercise increased caution,1/10/18,Monaco,,,terrorism
2018,French Guiana,1: Exercise normal precautions,1/10/18,French Guiana,,,
2018,French Polynesia,1: Exercise normal precautions,1/10/18,French Polynesia,,,
2018,French West Indies,1: Exercise normal precautions,1/10/18,Northern Saint-Martin,,,
2018,French West Indies,3: Reconsider travel,1/10/18,Northern Saint-Martin,1,St. Martin,aftermath of a natural disaster
2018,Gabon,1: Exercise normal precautions,1/10/18,Gabon,,,
2018,Gabon,2: Exercise increased caution,1/10/18,Gabon,1,Libreville and Port Gentil ,cirme
2018,Georgia,1: Exercise normal precautions,1/10/18,Georgia,,,
2018,Georgia,4: Do not travel,1/10/18,Georgia,1,The Russian-occupied regions of South Ossetia and Abkhazia,"civil unrest, crime, and landmines"
2018,Germany,2: Exercise increased caution,6/19/18,Germany,,,terrorism
2018,Ghana,1: Exercise normal precautions,1/10/18,Ghana,,,
2018,Ghana,2: Exercise increased caution,1/10/18,Ghana,1,Certain precincts of Accra,crime
2018,Ghana,2: Exercise increased caution,1/10/18,Ghana,1,"Certain areas of Upper West, Upper East, Northern, Volta, Western, Brong Ahafo, and Ashanti",cirme
2018,Greece,1: Exercise normal precautions,1/10/18,Greece,,,
2018,Grenada,1: Exercise normal precautions,1/10/18,Grenada,,,
2018,Guatemala,3: Reconsider travel,1/10/18,Guatemala,,,crime
2018,Guinea,2: Exercise increased caution,2/16/18,Guinea,,,civil unrest
2018,Guinea-Bissau,3: Reconsider travel,1/10/18,Guinea Bissau,,,crime and civil unrest
2018,Guyana,2: Exercise increased caution,5/17/18,Guyana,,,crime
2018,Haiti,3: Reconsider travel,1/10/18,Haiti,,,crime and civil unrest
2018,Honduras ,3: Reconsider travel,1/10/18,Honduras ,,,crime
2018,Honduras ,4: Do not travel,1/10/18,Honduras ,1,Gracias a Dios Department,
2018,Hong Kong,1: Exercise normal precautions,1/10/18,Hong Kong,,,
2018,Hungary,1: Exercise normal precautions,1/10/18,Hungary,,,
2018,Iceland,1: Exercise normal precautions,1/10/18,Iceland,,,
2018,India,2: Exercise increased caution,1/10/18,India,,,crime and terrorism
2018,India,4: Do not travel,1/10/18,India,1,"state of Jammu and Kashmir (except the eastern Ladakh region and its capital, Leh)",terrorism and civil unrest
2018,India,4: Do not travel,1/10/18,India,1,Within 10 km of the India-Pakistan border,potential armed conflict
2018,Indonesia,2: Exercise increased caution,1/10/18,Indonesia,,,terrorism
2018,Indonesia,3: Reconsider travel,1/10/18,Indonesia,1,Central Sulawesi and Papua,civil unrest
2018,Iran,4: Do not travel,1/10/18,Iran,,,arbitrary arrest and detention of U.S. citizens
2018,Iraq,4: Do not travel,1/10/18,Iraq,,,terrorism and armed conflict
2018,Ireland,1: Exercise normal precautions,1/10/18,Ireland,,,
2018,"Israel, The West Bank, and Gaza",2: Exercise increased caution,1/10/18,Israel,,,terrorism
2018,"Israel, The West Bank, and Gaza",4: Do not travel,1/10/18,Israel,1,Gaza,"terrorism, civil unrest and armed conflict"
2018,"Israel, The West Bank, and Gaza",3: Reconsider travel,1/10/18,Israel,1,West Bank,"terrorism, potentially violent civil unrest, and the potential for armed conflict"
2018,Italy,2: Exercise increased caution,1/10/18,Italy,,,terrorism
2018,Jamaica,2: Exercise increased caution,1/10/18,Jamaica,,,cirme
2018,Jamaica,4: Do not travel,1/10/18,Jamaica,1,Some areas of Kingston,cirme
2018,Jamaica,4: Do not travel,1/10/18,Jamaica,1,Some areas of Montego Bay,cirme
2018,Jamaica,4: Do not travel,1/10/18,Jamaica,1,Spanish Town,cirme
2018,Japan,1: Exercise normal precautions,1/10/18,Japan,,,
2018,Jordan,2: Exercise increased caution,1/10/18,Jordan,,,
2018,Jordan,4: Do not travel,1/10/18,Jordan,1,The border with Syria and Iraq,terrorism and armed conflict
2018,Kazakhstan,1: Exercise normal precautions,5/23/18,Kazakhstan,,,
2018,Kenya,2: Exercise increased caution,3/29/18,Kenya,,,crime and terrorism
2018,Kenya,4: Do not travel,3/29/18,Kenya,1,Kenya-Somalia border and some coastal areas,terrorism
2018,Kenya,3: Reconsider travel,3/29/18,Kenya,1,Nairobi neighborhood of Eastleigh at all times and Old Town in Mombasa at night ,cirme
2018,Kiribati,1: Exercise normal precautions,1/10/18,Kiribati,,,
2018,Kosovo,2: Exercise increased caution,5/25/18,Kosovo,,,terrorism
2018,Kosovo,3: Reconsider travel,5/25/18,Kosovo,1,"North Mitrovica, Leposavic, Zubin Potok, and Zvecan",civil unrest
2018,Kuwait,1: Exercise normal precautions,1/10/18,Kuwait,,,
2018,Kuwait,4: Do not travel,1/10/18,Kuwait,1,desert region near the border with Iraq,cirme
2018,Kuwait,4: Do not travel,1/10/18,Kuwait,1,City of Al Jahra in northwest of Kuwait City,cirme
2018,Kuwait,4: Do not travel,1/10/18,Kuwait,1,The Jeleeb Al-Shuyoukh area in Kuwait City,crime
2018,Kyrgyzstan,1: Exercise normal precautions,4/24/18,Kyrgyzstan,,,
2018,Laos,1: Exercise normal precautions,1/10/18,Laos,,,
2018,Laos,3: Reconsider travel,1/10/18,Laos,1,Xaisomboun Province,civil unrest
2018,Laos,2: Exercise increased caution,1/10/18,Laos,1,Remote areas along the border with Burma,cirme
2018,Laos,2: Exercise increased caution,1/10/18,Laos,1,"Areas of Savannakhet, Xieng Khouang, Saravane, Khammouane, Sekong, Champassak, Houaphan, Attapeu, Luang Prabang, and Vientiane provinces, as well as along Route 7 (from Route 13 to the Vietnam border), Route 9 (Savannakhet to the Vietnam border), and Route 20 (Pakse to Saravane)",unexploded bombs
2018,Latvia,1: Exercise normal precautions,1/10/18,Latvia,,,
2018,Lebanon,3: Reconsider travel,1/10/18,Lebanon,,,"crime, terrorism, and armed conflict"
2018,Lebanon,4: Do not travel,1/10/18,Lebanon,1,border with Syria,terrorism and armed conflict
2018,Lebanon,4: Do not travel,1/10/18,Lebanon,1,border with Israel,potential armed conflict
2018,Lebanon,4: Do not travel,1/10/18,Lebanon,1,Refugee settlements,potential armed conflict
2018,Lesotho,1: Exercise normal precautions,1/10/18,Lesotho,,,
2018,Liberia,1: Exercise normal precautions,1/10/18,Liberia,,,
2018,Liberia,2: Exercise increased caution,1/10/18,Liberia,1,Urban areas and public beaches,crime
2018,Libya,4: Do not travel,1/10/18,Libya,,,"crime, terrorism, civil unrest, and armed conflict"
2018,Lithuania,1: Exercise normal precautions,6/18/18,Lithuania,,,
2018,Luxembourg,1: Exercise normal precautions,1/10/18,Luxembourg,,,
2018,Macau,1: Exercise normal precautions,1/10/18,Macau,,,
2018,Macedonia,1: Exercise normal precautions,1/10/18,Macedonia,,,
2018,Madagascar,1: Exercise normal precautions,1/10/18,Madagascar,,,
2018,Madagascar,2: Exercise increased caution,1/10/18,Madagascar,1,High-traffic tourist areas,cirme
2018,Malawi,1: Exercise normal precautions,1/10/18,Malawi,,,
2018,Malawi,2: Exercise increased caution,1/10/18,Malawi,1,"The districts of Mulanje, Thyolo, Chiradzulu, Nsanje, Phalombe, rural Blantyre (outside Blantyre city), and rural Zomba (outside Zomba city)",civil unrest
2018,Malaysia,1: Exercise normal precautions,1/10/18,Malaysia,,,
2018,Malaysia,2: Exercise increased caution,1/10/18,Malaysia,1,eastern area of Sabah State,crime and terrorism
2018,Maldives,2: Exercise increased caution,2/6/18,Maldives,,,terrorism and civil unrest
2018,Mali,4: Do not travel,1/10/18,Mali,,,crime and terrorism
2018,Malta,1: Exercise normal precautions,6/27/18,Malta,,,
2018,Marshall Islands,1: Exercise normal precautions,1/10/18,Marshall Islands,,,
2018,Mauritania,3: Reconsider travel,2/22/18,Mauritania,,,crime and terrorism
2018,Mauritius,1: Exercise normal precautions,1/18/18,Mauritius,,,
2018,Mexico,2: Exercise increased caution,5/7/18,Mexico,,,crime
2018,Micronesia,1: Exercise normal precautions,1/10/18,Micronesia,,,
2018,Moldova,1: Exercise normal precautions,1/10/18,Moldova,,,
2018,Moldova,2: Exercise increased caution,1/10/18,Moldova,1,Transnistria,unsolved conflict
2018,Mongolia,1: Exercise normal precautions,1/10/18,Mongolia,,,
2018,Montenegro,1: Exercise normal precautions,1/10/18,Montenegro,,,
2018,Montserrat,1: Exercise normal precautions,1/10/18,Montserrat,,,
2018,Morocco,1: Exercise normal precautions,1/10/18,Morocco,,,
2018,Mozambique,1: Exercise normal precautions,6/15/18,Mozambique,,,
2018,Mozambique,3: Reconsider travel,6/15/18,Mozambique,1,Some northern districts in Cabo Delgado Province,violent extremism
2018,Mozambique,2: Exercise increased caution,6/15/18,Mozambique,1,Maputo,cirme
2018,Namibia,1: Exercise normal precautions,1/10/18,Namibia,,,
2018,Nauru,1: Exercise normal precautions,1/10/18,Nauru,,,
2018,Nepal,2: Exercise increased caution,1/10/18,Nepal,,,the potential for isolated political violence
2018,Netherlands,1: Exercise normal precautions,6/21/18,Netherlands,,,
2018,New Caledonia,1: Exercise normal precautions,1/10/18,New Caledonia,,,
2018,New Zealand,1: Exercise normal precautions,1/10/18,New Zealand,,,
2018,Nicaragua,3: Reconsider travel,6/8/18,Nicaragua,,,"crime, civil unrest and limited healthcare availability."
2018,Niger,3: Reconsider travel,1/10/18,Niger,,,crime and terrorism
2018,Nigeria,3: Reconsider travel,1/10/18,Nigeria,,,"crime, terrorism, and piracy"
2018,North Korea,4: Do not travel,1/10/18,North Korea,,,due to the serious risk of arrest and long-term detention of U.S. nationals
2018,Norway,1: Exercise normal precautions,1/10/18,Norway,,,
2018,Oman,1: Exercise normal precautions,4/30/18,Oman,,,
2018,Oman,4: Do not travel,4/30/18,Oman,1,Saudi Arabia and Yemen border areas,terrorism and armed conflict
2018,Pakistan,3: Reconsider travel,1/10/18,Pakistan,,,
2018,Pakistan,4: Do not travel,1/10/18,Pakistan,1,"Balochistan province, Khyber Pakhtunkhwa (KPK) province, and the Federally Administered Tribal Areas (FATA)",terrorism
2018,Pakistan,4: Do not travel,1/10/18,Pakistan,1,The Azad Kashmir area,terrorism and the potential for armed conflict
2018,Palau,1: Exercise normal precautions,1/10/18,Palau,,,
2018,Panama,1: Exercise normal precautions,5/7/18,Panama,,,
2018,Panama,4: Do not travel,5/7/18,Panama,1,Parts of the Mosquito Gulf,crime
2018,Panama,4: Do not travel,5/7/18,Panama,1,Parts of the Darién Region ,cirme
2018,Papua New Guinea,2: Exercise increased caution,6/27/18,Papua New Guinea,,,crime and civil unrest
2018,Papua New Guinea,4: Do not travel,6/27/18,Papua New Guinea,1,Southern Highlands Province and Hela Province,civil unrest
2018,Papua New Guinea,3: Reconsider travel,6/27/18,Papua New Guinea,1,Areas near the Panguna mine in Bougainville,civil unrest
2018,Papua New Guinea,3: Reconsider travel,6/27/18,Papua New Guinea,1,The Highlands region ,aftermath of a natural disaster
2018,Paraguay,1: Exercise normal precautions,1/10/18,Paraguay,,,
2018,Paraguay,2: Exercise increased caution,1/10/18,Paraguay,1,"Amambay, Alto Paraná, Canindeyu, San Pedro, and Concepcion departments",cirme
2018,Peru,1: Exercise normal precautions,1/10/18,Peru,,,
2018,Peru,4: Do not travel,1/10/18,Peru,1,The Colombian - Peruvian border area in the Loreto Region,crime
2018,Peru,4: Do not travel,1/10/18,Peru,1,"The area in central Peru known as the Valley of the Rivers Apurimac, Ene, and Mantaro (VRAEM)",crime and terrorism
2018,Peru,3: Reconsider travel,1/10/18,Peru,1,Areas outside cities at night by car,crime
2018,Philippines,2: Exercise increased caution,4/13/18,Philippines,,,"crime, terrorism, civil unrest, and a measles outbreak"
2018,Philippines,4: Do not travel,4/13/18,Philippines,1,"Sulu Archipelago, including the southern Sulu Sea","crime, terrorism, and civil unrest"
2018,Philippines,4: Do not travel,4/13/18,Philippines,1,Marawi City in Mindanao ,terrorism and civil unrest
2018,Philippines,3: Reconsider travel,4/13/18,Philippines,1,Other areas of Mindanao,"crime, terrorism, and civil unrest"
2018,Poland,1: Exercise normal precautions,1/10/18,Poland,,,
2018,Portugal,1: Exercise normal precautions,6/18/18,Portugal,,,
2018,Qatar,1: Exercise normal precautions,1/10/18,Qatar,,,
2018,Romania,1: Exercise normal precautions,1/10/18,Romania,,,
2018,Russia,3: Reconsider travel,6/15/18,Russia,,,terrorism and harassment
2018,Russia,4: Do not travel,6/15/18,Russia,1,"The north Caucasus, including Chechnya and Mount Elbrus",terrorism and civil unrest
2018,Russia,4: Do not travel,6/15/18,Russia,1,Crimea, foreign occupation and abuses by occupying authorities
2018,Rwanda,1: Exercise normal precautions,3/22/18,Rwanda,,,
2018,Rwanda,3: Reconsider travel,3/22/18,Rwanda,1,The Rwanda-Democratic Republic of Congo (DRC),armed conflict
2018,Saint Kitts and Nevis,1: Exercise normal precautions,5/2/18,Saint Kitts and Nevis,,,
2018,Saint Lucia,1: Exercise normal precautions,1/10/18,Saint Lucia,,,
2018,Saint Vincent and the Grenadines,1: Exercise normal precautions,1/10/18,Saint Vincent and the Grenadines,,,
2018,Samoa,1: Exercise normal precautions,1/10/18,Samoa,,,
2018,Sao Tome & Principe,1: Exercise normal precautions,1/10/18,Sao Tome and Principe,,,
2018,Saudi Arabia,2: Exercise increased caution,4/16/18,Saudi Arabia,,,terrorism and the threat of missile attacks on civilian targets
2018,Saudi Arabia,4: Do not travel,4/16/18,Saudi Arabia,1,Within 50 miles of the border with Yemen,terrorism and armed conflict
2018,Senegal,1: Exercise normal precautions,5/18/18,Senegal,,,
2018,Senegal,2: Exercise increased caution,5/18/18,Senegal,1,The Casamance region,crime and landmines
2018,Serbia,1: Exercise normal precautions,1/10/18,Serbia,,,
2018,Seychelles,1: Exercise normal precautions,1/10/18,Seychelles,,,
2018,Sierra Leone,2: Exercise increased caution,1/10/18,Sierra Leone,,,crime
2018,Singapore,1: Exercise normal precautions,1/10/18,Singapore,,,
2018,Sint Maarten,1: Exercise normal precautions,3/16/18,Sint Maarten,,,
2018,Slovakia,1: Exercise normal precautions,1/10/18,Slovakia,,,
2018,Slovenia,1: Exercise normal precautions,1/10/18,Slovenia,,,
2018,Solomon Islands,1: Exercise normal precautions,1/10/18,Solomon Islands,,,
2018,Somalia,4: Do not travel,1/10/18,Somalia,,,"crime, terrorism, and piracy"
2018,South Africa,2: Exercise increased caution,4/5/18,South Africa,,,crime and drought
2018,South Korea,1: Exercise normal precautions,1/10/18,South Korea,,,
2018,South Sudan,4: Do not travel,6/28/18,South Sudan,,,crime and armed conflict
2018,Spain,2: Exercise increased caution,1/10/18,Spain,,,terrorism
2018,Sri Lanka,1: Exercise normal precautions,1/10/18,Sri Lanka,,,
2018,Sudan,3: Reconsider travel,1/10/18,Sudan,,,terrorism and civil unrest
2018,Sudan,4: Do not travel,1/10/18,Sudan,1,"The Darfur region, Blue Nile state, and Southern Kordofan state",crime and armed conflict
2018,Suriname,1: Exercise normal precautions,1/10/18,Suriname,,,
2018,Eswatini,1: Exercise normal precautions,1/10/18,Eswatini,,,
2018,Sweden,1: Exercise normal precautions,4/25/18,Sweden,,,
2018,Switzerland,1: Exercise normal precautions,1/10/18,Switzerland,,,
2018,Syria,4: Do not travel,1/10/18,Syria,,,"terrorism, civil unrest, and armed conflict"
2018,Taiwan,1: Exercise normal precautions,1/10/18,Taiwan,,,
2018,Tajikistan,1: Exercise normal precautions,6/15/18,Tajikistan,,,
2018,Tanzania,2: Exercise increased caution,1/10/18,Tanzania,,,"crime, terrorism, and targeting of LGBTI persons"
2018,Thailand,1: Exercise normal precautions,1/10/18,Thailand,,,
2018,Thailand,3: Reconsider travel,1/10/18,Thailand,1,"Yala, Pattani, Narathiwat, and Songkhla provinces",civil unrest
2018,The Bahamas,2: Exercise increased caution,1/10/18,The Bahamas,,,cirme
2018,The Gambia,1: Exercise normal precautions,1/10/18,The Gambia,,,
2018,The Gambia,2: Exercise increased caution,1/10/18,The Gambia,1,The Gambia’s southern border area with the Casamance region of Senegal,landmines
2018,Timor-Leste,1: Exercise normal precautions,1/10/18,East Timor,,,
2018,Togo,2: Exercise increased caution,1/10/18,Togo,,,crime and civil unrest
2018,Tonga,1: Exercise normal precautions,1/10/18,Tonga,,,
2018,Trinidad and Tobago,2: Exercise increased caution,2/22/18,Trinidad and Tobago,,,crime and terrorism
2018,Trinidad and Tobago,4: Do not travel,2/22/18,Trinidad and Tobago,1,"Laventille, Beetham, Sea Lots, Cocorite, and the interior of Queen's Park Savannah in Port of Spain",crime
2018,Tunisia,2: Exercise increased caution,1/10/18,Tunisia,,,terrorism
2018,Tunisia,4: Do not travel,1/10/18,Tunisia,1,Within 30 km of southeastern Tunisia along the border with Libya,terrorism
2018,Tunisia,4: Do not travel,1/10/18,Tunisia,1,"Mountainous areas in the country’s west, including the Chaambi Mountain National Park area",terrorism
2018,Tunisia,4: Do not travel,1/10/18,Tunisia,1,The desert south of Remada ,military zone
