rgn_id,fao_id,scientificname,stockid,stocklong,commonname
184,37,Engraulis encrasicolus,ANCHMEDGSA16,Anchovy South of Sicily,Anchovy
163,21,Engraulis encrasicolus,NA,NA,NA
261,21,Engraulis encrasicolus,NA,NA,NA
59,27,Engraulis encrasicolus,NA,NA,NA
69,27,Engraulis encrasicolus,NA,NA,NA
70,27,Engraulis encrasicolus,NA,NA,NA
73,27,Engraulis encrasicolus,NA,NA,NA
141,27,Engraulis encrasicolus,NA,NA,NA
143,27,Engraulis encrasicolus,NA,NA,NA
144,27,Engraulis encrasicolus,NA,NA,NA
175,27,Engraulis encrasicolus,NA,NA,NA
176,27,Engraulis encrasicolus,NA,NA,NA
177,27,Engraulis encrasicolus,NA,NA,NA
179,27,Engraulis encrasicolus,NA,NA,NA
180,27,Engraulis encrasicolus,NA,NA,NA
181,27,Engraulis encrasicolus,NA,NA,NA
182,27,Engraulis encrasicolus,NA,NA,NA
183,27,Engraulis encrasicolus,NA,NA,NA
189,27,Engraulis encrasicolus,NA,NA,NA
222,27,Engraulis encrasicolus,NA,NA,NA
223,27,Engraulis encrasicolus,NA,NA,NA
227,27,Engraulis encrasicolus,NA,NA,NA
228,27,Engraulis encrasicolus,NA,NA,NA
262,27,Engraulis encrasicolus,NA,NA,NA
56,34,Engraulis encrasicolus,NA,NA,NA
57,34,Engraulis encrasicolus,NA,NA,NA
58,34,Engraulis encrasicolus,NA,NA,NA
62,34,Engraulis encrasicolus,NA,NA,NA
63,34,Engraulis encrasicolus,NA,NA,NA
64,34,Engraulis encrasicolus,NA,NA,NA
65,34,Engraulis encrasicolus,NA,NA,NA
66,34,Engraulis encrasicolus,NA,NA,NA
96,34,Engraulis encrasicolus,NA,NA,NA
97,34,Engraulis encrasicolus,NA,NA,NA
98,34,Engraulis encrasicolus,NA,NA,NA
99,34,Engraulis encrasicolus,NA,NA,NA
100,34,Engraulis encrasicolus,NA,NA,NA
103,34,Engraulis encrasicolus,NA,NA,NA
104,34,Engraulis encrasicolus,NA,NA,NA
106,34,Engraulis encrasicolus,NA,NA,NA
182,34,Engraulis encrasicolus,NA,NA,NA
193,34,Engraulis encrasicolus,NA,NA,NA
194,34,Engraulis encrasicolus,NA,NA,NA
195,34,Engraulis encrasicolus,NA,NA,NA
196,34,Engraulis encrasicolus,NA,NA,NA
197,34,Engraulis encrasicolus,NA,NA,NA
198,34,Engraulis encrasicolus,NA,NA,NA
199,34,Engraulis encrasicolus,NA,NA,NA
200,34,Engraulis encrasicolus,NA,NA,NA
255,34,Engraulis encrasicolus,NA,NA,NA
60,37,Engraulis encrasicolus,NA,NA,NA
62,37,Engraulis encrasicolus,NA,NA,NA
67,37,Engraulis encrasicolus,NA,NA,NA
71,37,Engraulis encrasicolus,NA,NA,NA
72,37,Engraulis encrasicolus,NA,NA,NA
73,37,Engraulis encrasicolus,NA,NA,NA
74,37,Engraulis encrasicolus,NA,NA,NA
75,37,Engraulis encrasicolus,NA,NA,NA
76,37,Engraulis encrasicolus,NA,NA,NA
80,37,Engraulis encrasicolus,NA,NA,NA
82,37,Engraulis encrasicolus,NA,NA,NA
84,37,Engraulis encrasicolus,NA,NA,NA
179,37,Engraulis encrasicolus,NA,NA,NA
182,37,Engraulis encrasicolus,NA,NA,NA
185,37,Engraulis encrasicolus,NA,NA,NA
186,37,Engraulis encrasicolus,NA,NA,NA
187,37,Engraulis encrasicolus,NA,NA,NA
188,37,Engraulis encrasicolus,NA,NA,NA
232,37,Engraulis encrasicolus,NA,NA,NA
323,37,Engraulis encrasicolus,NA,NA,NA
101,47,Engraulis encrasicolus,NA,NA,NA
199,47,Engraulis encrasicolus,NA,NA,NA
200,47,Engraulis encrasicolus,NA,NA,NA
61,NA,Engraulis encrasicolus,NA,NA,NA
65,NA,Engraulis encrasicolus,NA,NA,NA
66,NA,Engraulis encrasicolus,NA,NA,NA
71,NA,Engraulis encrasicolus,NA,NA,NA
72,NA,Engraulis encrasicolus,NA,NA,NA
73,NA,Engraulis encrasicolus,NA,NA,NA
74,NA,Engraulis encrasicolus,NA,NA,NA
75,NA,Engraulis encrasicolus,NA,NA,NA
76,NA,Engraulis encrasicolus,NA,NA,NA
80,NA,Engraulis encrasicolus,NA,NA,NA
82,NA,Engraulis encrasicolus,NA,NA,NA
176,NA,Engraulis encrasicolus,NA,NA,NA
177,NA,Engraulis encrasicolus,NA,NA,NA
179,NA,Engraulis encrasicolus,NA,NA,NA
180,NA,Engraulis encrasicolus,NA,NA,NA
184,NA,Engraulis encrasicolus,NA,NA,NA
186,NA,Engraulis encrasicolus,NA,NA,NA
187,NA,Engraulis encrasicolus,NA,NA,NA
218,NA,Engraulis encrasicolus,NA,NA,NA
232,NA,Engraulis encrasicolus,NA,NA,NA
73,61,Engraulis japonicus,JANCHOPJPN,Japanese anchovy Pacific Coast of Japan,Japanese anchovy
210,61,Engraulis japonicus,JANCHOPJPN,Japanese anchovy Pacific Coast of Japan,Japanese anchovy
210,61,Engraulis japonicus,JANCHOSETO,Japanese anchovy Inland Sea of Japan,Japanese anchovy
20,61,Engraulis japonicus,JANCHOTSST,Japanese anchovy Tsushima Strait,Japanese anchovy
209,61,Engraulis japonicus,JANCHOTSST,Japanese anchovy Tsushima Strait,Japanese anchovy
210,61,Engraulis japonicus,JANCHOTSST,Japanese anchovy Tsushima Strait,Japanese anchovy
73,27,Engraulis japonicus,NA,NA,NA
143,27,Engraulis japonicus,NA,NA,NA
144,27,Engraulis japonicus,NA,NA,NA
145,27,Engraulis japonicus,NA,NA,NA
175,27,Engraulis japonicus,NA,NA,NA
179,27,Engraulis japonicus,NA,NA,NA
180,27,Engraulis japonicus,NA,NA,NA
181,27,Engraulis japonicus,NA,NA,NA
222,27,Engraulis japonicus,NA,NA,NA
223,27,Engraulis japonicus,NA,NA,NA
262,27,Engraulis japonicus,NA,NA,NA
16,57,Engraulis japonicus,NA,NA,NA
255,57,Engraulis japonicus,NA,NA,NA
14,61,Engraulis japonicus,NA,NA,NA
15,61,Engraulis japonicus,NA,NA,NA
21,61,Engraulis japonicus,NA,NA,NA
207,61,Engraulis japonicus,NA,NA,NA
255,61,Engraulis japonicus,NA,NA,NA
15,71,Engraulis japonicus,NA,NA,NA
207,71,Engraulis japonicus,NA,NA,NA
216,71,Engraulis japonicus,NA,NA,NA
20,NA,Engraulis japonicus,NA,NA,NA
209,NA,Engraulis japonicus,NA,NA,NA
210,NA,Engraulis japonicus,NA,NA,NA
163,31,Farfantepenaeus aztecus,BRNSHRIMPGM,Brown shrimp Gulf of Mexico,Brown shrimp
163,21,Farfantepenaeus aztecus,NA,NA,NA
218,21,Farfantepenaeus aztecus,NA,NA,NA
261,21,Farfantepenaeus aztecus,NA,NA,NA
110,31,Farfantepenaeus aztecus,NA,NA,NA
135,31,Farfantepenaeus aztecus,NA,NA,NA
20,61,Farfantepenaeus aztecus,NA,NA,NA
207,61,Farfantepenaeus aztecus,NA,NA,NA
209,61,Farfantepenaeus aztecus,NA,NA,NA
210,61,Farfantepenaeus aztecus,NA,NA,NA
162,81,Farfantepenaeus aztecus,NA,NA,NA
163,31,Farfantepenaeus duorarum,PINKSHRIMPGM,Pink shrimp Gulf of Mexico,Pink shrimp
163,21,Farfantepenaeus duorarum,NA,NA,NA
261,21,Farfantepenaeus duorarum,NA,NA,NA
110,31,Farfantepenaeus duorarum,NA,NA,NA
112,31,Farfantepenaeus duorarum,NA,NA,NA
135,31,Farfantepenaeus duorarum,NA,NA,NA
20,61,Farfantepenaeus duorarum,NA,NA,NA
207,61,Farfantepenaeus duorarum,NA,NA,NA
209,61,Farfantepenaeus duorarum,NA,NA,NA
162,81,Farfantepenaeus duorarum,NA,NA,NA
135,NA,Farfantepenaeus duorarum,NA,NA,NA
163,NA,Farfantepenaeus duorarum,NA,NA,NA
73,61,Gadus macrocephalus,PCODBS,Pacific cod Bering Sea,Pacific cod
163,61,Gadus macrocephalus,PCODBS,Pacific cod Bering Sea,Pacific cod
163,67,Gadus macrocephalus,PCODBS,Pacific cod Bering Sea,Pacific cod
210,61,Gadus macrocephalus,PCODNPAC,Pacific cod North Pacific,Pacific cod
218,18,Gadus macrocephalus,NA,NA,NA
73,27,Gadus macrocephalus,NA,NA,NA
143,27,Gadus macrocephalus,NA,NA,NA
145,27,Gadus macrocephalus,NA,NA,NA
175,27,Gadus macrocephalus,NA,NA,NA
176,27,Gadus macrocephalus,NA,NA,NA
177,27,Gadus macrocephalus,NA,NA,NA
180,27,Gadus macrocephalus,NA,NA,NA
181,27,Gadus macrocephalus,NA,NA,NA
182,27,Gadus macrocephalus,NA,NA,NA
62,34,Gadus macrocephalus,NA,NA,NA
63,34,Gadus macrocephalus,NA,NA,NA
62,37,Gadus macrocephalus,NA,NA,NA
68,37,Gadus macrocephalus,NA,NA,NA
71,37,Gadus macrocephalus,NA,NA,NA
76,37,Gadus macrocephalus,NA,NA,NA
80,37,Gadus macrocephalus,NA,NA,NA
179,37,Gadus macrocephalus,NA,NA,NA
182,37,Gadus macrocephalus,NA,NA,NA
184,37,Gadus macrocephalus,NA,NA,NA
185,37,Gadus macrocephalus,NA,NA,NA
172,41,Gadus macrocephalus,NA,NA,NA
102,47,Gadus macrocephalus,NA,NA,NA
48,51,Gadus macrocephalus,NA,NA,NA
20,61,Gadus macrocephalus,NA,NA,NA
21,61,Gadus macrocephalus,NA,NA,NA
209,61,Gadus macrocephalus,NA,NA,NA
255,61,Gadus macrocephalus,NA,NA,NA
272,61,Gadus macrocephalus,NA,NA,NA
218,67,Gadus macrocephalus,NA,NA,NA
73,NA,Gadus macrocephalus,NA,NA,NA
163,NA,Gadus macrocephalus,NA,NA,NA
218,NA,Gadus macrocephalus,NA,NA,NA
218,21,Gadus morhua,COD2J3KL,Atlantic cod NAFO 2J3KL,Atlantic cod
73,18,Gadus morhua,NA,NA,NA
145,21,Gadus morhua,NA,NA,NA
163,21,Gadus morhua,NA,NA,NA
219,21,Gadus morhua,NA,NA,NA
261,21,Gadus morhua,NA,NA,NA
55,27,Gadus morhua,NA,NA,NA
59,27,Gadus morhua,NA,NA,NA
69,27,Gadus morhua,NA,NA,NA
70,27,Gadus morhua,NA,NA,NA
73,27,Gadus morhua,NA,NA,NA
141,27,Gadus morhua,NA,NA,NA
143,27,Gadus morhua,NA,NA,NA
144,27,Gadus morhua,NA,NA,NA
145,27,Gadus morhua,NA,NA,NA
174,27,Gadus morhua,NA,NA,NA
175,27,Gadus morhua,NA,NA,NA
176,27,Gadus morhua,NA,NA,NA
177,27,Gadus morhua,NA,NA,NA
178,27,Gadus morhua,NA,NA,NA
179,27,Gadus morhua,NA,NA,NA
180,27,Gadus morhua,NA,NA,NA
181,27,Gadus morhua,NA,NA,NA
182,27,Gadus morhua,NA,NA,NA
183,27,Gadus morhua,NA,NA,NA
189,27,Gadus morhua,NA,NA,NA
222,27,Gadus morhua,NA,NA,NA
223,27,Gadus morhua,NA,NA,NA
227,27,Gadus morhua,NA,NA,NA
228,27,Gadus morhua,NA,NA,NA
262,27,Gadus morhua,NA,NA,NA
58,34,Gadus morhua,NA,NA,NA
64,34,Gadus morhua,NA,NA,NA
68,37,Gadus morhua,NA,NA,NA
73,37,Gadus morhua,NA,NA,NA
76,37,Gadus morhua,NA,NA,NA
80,37,Gadus morhua,NA,NA,NA
179,37,Gadus morhua,NA,NA,NA
182,37,Gadus morhua,NA,NA,NA
184,37,Gadus morhua,NA,NA,NA
48,51,Gadus morhua,NA,NA,NA
53,51,Gadus morhua,NA,NA,NA
269,51,Gadus morhua,NA,NA,NA
16,57,Gadus morhua,NA,NA,NA
206,57,Gadus morhua,NA,NA,NA
216,57,Gadus morhua,NA,NA,NA
14,61,Gadus morhua,NA,NA,NA
20,61,Gadus morhua,NA,NA,NA
73,61,Gadus morhua,NA,NA,NA
209,61,Gadus morhua,NA,NA,NA
15,71,Gadus morhua,NA,NA,NA
16,71,Gadus morhua,NA,NA,NA
17,71,Gadus morhua,NA,NA,NA
206,71,Gadus morhua,NA,NA,NA
216,71,Gadus morhua,NA,NA,NA
275,77,Gadus morhua,NA,NA,NA
61,NA,Gadus morhua,NA,NA,NA
73,NA,Gadus morhua,NA,NA,NA
143,NA,Gadus morhua,NA,NA,NA
145,NA,Gadus morhua,NA,NA,NA
180,NA,Gadus morhua,NA,NA,NA
218,NA,Gadus morhua,NA,NA,NA
223,NA,Gadus morhua,NA,NA,NA
224,87,Genypterus blacodes,PCEELCSCH,Pink cusk-eel Central-Southern Chile,Pink cusk-eel
224,87,Genypterus blacodes,PCEELSCH,Pink cusk-eel Southern Chile,Pink cusk-eel
176,27,Genypterus blacodes,NA,NA,NA
177,27,Genypterus blacodes,NA,NA,NA
182,27,Genypterus blacodes,NA,NA,NA
183,27,Genypterus blacodes,NA,NA,NA
60,37,Genypterus blacodes,NA,NA,NA
61,37,Genypterus blacodes,NA,NA,NA
62,37,Genypterus blacodes,NA,NA,NA
68,37,Genypterus blacodes,NA,NA,NA
179,37,Genypterus blacodes,NA,NA,NA
182,37,Genypterus blacodes,NA,NA,NA
184,37,Genypterus blacodes,NA,NA,NA
187,37,Genypterus blacodes,NA,NA,NA
188,37,Genypterus blacodes,NA,NA,NA
95,41,Genypterus blacodes,NA,NA,NA
171,41,Genypterus blacodes,NA,NA,NA
172,41,Genypterus blacodes,NA,NA,NA
173,41,Genypterus blacodes,NA,NA,NA
266,41,Genypterus blacodes,NA,NA,NA
89,48,Genypterus blacodes,NA,NA,NA
248100,48,Genypterus blacodes,NA,NA,NA
248200,48,Genypterus blacodes,NA,NA,NA
16,57,Genypterus blacodes,NA,NA,NA
91,58,Genypterus blacodes,NA,NA,NA
93,58,Genypterus blacodes,NA,NA,NA
258420,58,Genypterus blacodes,NA,NA,NA
3,81,Genypterus blacodes,NA,NA,NA
16,81,Genypterus blacodes,NA,NA,NA
162,81,Genypterus blacodes,NA,NA,NA
276,81,Genypterus blacodes,NA,NA,NA
172,87,Genypterus blacodes,NA,NA,NA
102,47,Haliotis midae,SAABALONESA,Abalone South Africa,South African abalone
67,37,Haliotis midae,NA,NA,NA
73,37,Haliotis midae,NA,NA,NA
75,37,Haliotis midae,NA,NA,NA
187,37,Haliotis midae,NA,NA,NA
163,67,Haliotis midae,NA,NA,NA
218,67,Haliotis midae,NA,NA,NA
102,NA,Haliotis midae,NA,NA,NA
163,NA,Haliotis midae,NA,NA,NA
218,21,Hippoglossus hippoglossus,ATHAL3NOPs4VWX5Zc,Atlantic halibut Scotian Shelf and Southern Grand Banks,Atlantic halibut
73,18,Hippoglossus hippoglossus,NA,NA,NA
145,21,Hippoglossus hippoglossus,NA,NA,NA
163,21,Hippoglossus hippoglossus,NA,NA,NA
219,21,Hippoglossus hippoglossus,NA,NA,NA
261,21,Hippoglossus hippoglossus,NA,NA,NA
55,27,Hippoglossus hippoglossus,NA,NA,NA
69,27,Hippoglossus hippoglossus,NA,NA,NA
70,27,Hippoglossus hippoglossus,NA,NA,NA
73,27,Hippoglossus hippoglossus,NA,NA,NA
141,27,Hippoglossus hippoglossus,NA,NA,NA
143,27,Hippoglossus hippoglossus,NA,NA,NA
144,27,Hippoglossus hippoglossus,NA,NA,NA
145,27,Hippoglossus hippoglossus,NA,NA,NA
174,27,Hippoglossus hippoglossus,NA,NA,NA
175,27,Hippoglossus hippoglossus,NA,NA,NA
177,27,Hippoglossus hippoglossus,NA,NA,NA
179,27,Hippoglossus hippoglossus,NA,NA,NA
180,27,Hippoglossus hippoglossus,NA,NA,NA
181,27,Hippoglossus hippoglossus,NA,NA,NA
182,27,Hippoglossus hippoglossus,NA,NA,NA
183,27,Hippoglossus hippoglossus,NA,NA,NA
222,27,Hippoglossus hippoglossus,NA,NA,NA
223,27,Hippoglossus hippoglossus,NA,NA,NA
227,27,Hippoglossus hippoglossus,NA,NA,NA
262,27,Hippoglossus hippoglossus,NA,NA,NA
163,31,Hippoglossus hippoglossus,NA,NA,NA
68,37,Hippoglossus hippoglossus,NA,NA,NA
76,37,Hippoglossus hippoglossus,NA,NA,NA
80,37,Hippoglossus hippoglossus,NA,NA,NA
179,37,Hippoglossus hippoglossus,NA,NA,NA
182,37,Hippoglossus hippoglossus,NA,NA,NA
184,37,Hippoglossus hippoglossus,NA,NA,NA
171,41,Hippoglossus hippoglossus,NA,NA,NA
102,47,Hippoglossus hippoglossus,NA,NA,NA
16,57,Hippoglossus hippoglossus,NA,NA,NA
216,57,Hippoglossus hippoglossus,NA,NA,NA
255,57,Hippoglossus hippoglossus,NA,NA,NA
20,61,Hippoglossus hippoglossus,NA,NA,NA
21,61,Hippoglossus hippoglossus,NA,NA,NA
73,61,Hippoglossus hippoglossus,NA,NA,NA
209,61,Hippoglossus hippoglossus,NA,NA,NA
163,67,Hippoglossus hippoglossus,NA,NA,NA
15,71,Hippoglossus hippoglossus,NA,NA,NA
16,71,Hippoglossus hippoglossus,NA,NA,NA
216,71,Hippoglossus hippoglossus,NA,NA,NA
163,77,Hippoglossus hippoglossus,NA,NA,NA
162,81,Hippoglossus hippoglossus,NA,NA,NA
145,NA,Hippoglossus hippoglossus,NA,NA,NA
224,87,Hoplostethus atlanticus,OROUGHYCH,Orange roughy Chile,Orange roughy
218,18,Hoplostethus atlanticus,NA,NA,NA
145,21,Hoplostethus atlanticus,NA,NA,NA
218,21,Hoplostethus atlanticus,NA,NA,NA
